#,Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,1,INT.0587,9931 - Arte I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
2,1,INT.0312,9656 - Arte II,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
3,1,INT.0829,10173 - Att1- Fundamentos Básicos e Aplicados À Informática,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
4,1,INT.1144,10488 - Att2 - Arquitetura e Montagem de Computadores,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
5,1,INT.0650,9994 - Att3 - Algoritmos e Lógica de Programação,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
6,1,INT.1032,10376 - Att4 - Introdução a Redes de Computadores,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
7,1,INT.0093,9437 - Biologia I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
8,1,INT.0076,9420 - Educação Física I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
9,1,INT.0048,9392 - Física I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
10,1,INT.0106,9450 - Geografia I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
11,1,INT.0268,9612 - História I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
12,1,INT.0255,9599 - Língua Portuguesa I,Regular,Não,4,Comum,"CH Relógio: 120, CH Aula: 160",120,0,-,-,-
13,1,INT.0349,9693 - Matemática I,Regular,Não,4,Comum,"CH Relógio: 120, CH Aula: 160",120,0,-,-,-
14,1,INT.0239,9583 - Projeto Integrador 1,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
15,1,INT.0088,9432 - Projeto Integrador 2,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
16,1,INT.0346,9690 - Química I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
17,1,INT.0150,9494 - Sociologia I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
18,1,INT.0124,9468 - Sociologia II,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
19,2,INT.0472,9816 - Arte III,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
20,2,INT.1114,10458 - Att5 - Programação Orientada À Objetos,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
21,2,INT.0631,9975 - Att6 - Configuração de Redes e Servidores,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
22,2,INT.0436,9780 - Att7 - Gerenciamento de Redes,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
23,2,INT.0918,10262 - Att8 - Técnicas de Projeto de Sistemas,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
24,2,INT.0248,9592 - Biologia II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
25,2,INT.0225,9569 - Educação Física II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
26,2,INT.0300,9644 - Filosofia I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
27,2,INT.0269,9613 - Física II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
28,2,INT.0261,9605 - Geografia II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
29,2,INT.0341,9685 - História II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
30,2,INT.0219,9563 - Língua Estrangeira - Inglês I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
31,2,INT.0267,9611 - Língua Portuguesa II,Regular,Não,4,Comum,"CH Relógio: 120, CH Aula: 160",120,0,-,-,-
32,2,INT.0019,9363 - Matemática II,Regular,Não,4,Comum,"CH Relógio: 120, CH Aula: 160",120,0,-,-,-
33,2,INT.0494,9838 - Projeto Integrador 3,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
34,2,INT.0044,9388 - Projeto Integrador 4,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
35,2,INT.0245,9589 - Química II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
36,2,INT.0250,9594 - Sociologia III,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
37,3,INT.0439,9783 - Att10 - Banco de Dados,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
38,3,INT.0295,9639 - Att11 - Interface do Usuário,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
39,3,INT.1134,10478 - Att12 - Segurança da Informação,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
40,3,INT.0308,9652 - Att9 - Desenvolvimento Web,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
41,3,INT.0005,9349 - Biologia III,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
42,3,INT.0339,9683 - Educação Física III,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
43,3,INT.0023,9367 - Filosofia II,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
44,3,INT.0218,9562 - Filosofia III,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
