#,Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,1,INT.1455,14374 - Arte I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
2,1,INT.1456,14375 - Arte II,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
3,1,INT.1320,14172 - Biologia I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
4,1,INT.1321,14173 - Educação Física I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
5,1,INT.1322,14174 - Física I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
6,1,INT.1877,15786 - Fundamentos da Administração,Regular,Não,2,Específico,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
7,1,INT.1323,14175 - Geografia I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
8,1,INT.1491,14410 - Gestão da Qualidade,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
9,1,INT.1324,14176 - História I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
10,1,INT.1876,15785 - Informática Industrial,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
11,1,INT.1302,14154 - Língua Portuguesa I,Regular,Não,4,Comum,"CH Relógio: 120, CH Aula: 160",120,0,-,-,-
12,1,INT.1878,15787 - Logística e Gestão da Cadeia de Suprimentos,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
13,1,INT.1325,14177 - Matemática I,Regular,Não,4,Comum,"CH Relógio: 120, CH Aula: 160",120,0,-,-,-
14,1,INT.0416,9760 - Projeto Integrador I,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
15,1,INT.1326,14178 - Química I,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
16,1,INT.1327,14179 - Sociologia I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
17,1,INT.1328,14180 - Sociologia II,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
18,2,INT.0472,9816 - Arte III,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
19,2,INT.0248,9592 - Biologia II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
20,2,INT.0225,9569 - Educação Física II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
21,2,INT.1934,15909 - Engenharia de Métodos e Processos,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
22,2,INT.1333,14185 - Filosofia I,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
23,2,INT.0269,9613 - Física II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
24,2,INT.0261,9605 - Geografia II,Regular,Não,4,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
