#,Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,1,SUB.0227,7091 - Biologia Celular e Molecular Básica,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
2,1,SUB.0843,7964 - Comunicação,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
3,1,SUB.0181,7045 - Conduta Profissional e Biossegurança,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
4,1,SUB.0152,7016 - Informática Básica,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
5,1,SUB.0836,7957 - Matemática Aplicada,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
6,1,SUB.1050,8171 - Morfofisiologia Humana,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
7,1,SUB.0764,7885 - Projeto Integrador 1,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
8,1,SUB.1114,8235 - Soluções Químicas,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
9,2,SUB.0374,7238 - Bioquímica Clínica,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
10,2,SUB.0863,7984 - Informática Avançada,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
11,2,SUB.1063,8184 - Microbiologia Clínica,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
12,2,SUB.0484,7348 - Primeiros Socorros,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
13,2,SUB.0596,7460 - Projeto Integrador 2,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
14,2,SUB.0297,7161 - Rotinas Administrativas e Empreendedorismo,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
15,2,SUB.0927,8048 - Sistemas e Programas de Saúde,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
16,2,SUB.0473,7337 - Toxicologia Clínica,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
17,2,SUB.0184,7048 - Vigilância em Saúde,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
18,3,SUB.0660,7781 - Biologia Celular e Molecular Avançada,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
19,3,SUB.0391,7255 - Hematologia Clínica,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
20,3,SUB.0343,7207 - Imunologia Clínica,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
21,3,SUB.0929,8050 - Líquidos Corporais e Urinálise,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
22,3,SUB.0127,6991 - Parasitologia Clínica,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
23,3,SUB.0405,7269 - Projeto Integrador 3,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
24,4,SUB.1081,8202 - Projeto Integrador 4,Regular,Não,2,Comum,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
