#,Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,1,SUB.0747,7868 - Anatomia e Fisiologia Humana,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
2,1,SUB.0702,7823 - Biossegurança e Segurança no Trabalho de Enfermagem,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
3,1,SUB.0694,7815 - Comunicação e Expressão em Língua Portuguesa,Regular,Não,2,Comum,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
4,1,SUB.0993,8114 - Fundamentos de Enfermagem,Regular,Não,2,Específico,"CH Relógio: 90, CH Aula: 120",90,0,-,-,-
5,1,SUB.1033,8154 - Legislação e Ética em Enfermagem,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
6,1,SUB.0049,137 - Projeto Integrador 1,Regular,Não,2,Comum,"CH Relógio: 90, CH Aula: 120",0,90,-,-,-
7,1,SUB.1158,13356 - Saúde Pública,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
8,2,SUB.0756,7877 - Apoio Ao Diagnóstico e Organização dos Serviços de Saúde,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
9,2,SUB.1160,13614 - Doenças Infectocontagiosas,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
10,2,SUB.0449,7313 - Farmacologia,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
11,2,SUB.0666,7787 - Informática Básica e Ensino Ead,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
12,2,SUB.0822,7943 - Microbiologia e Parasitologia,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
13,2,SUB.0298,7162 - Projeto Integrador 2,Regular,Não,2,Específico,"CH Relógio: 90, CH Aula: 120",0,90,-,-,-
14,2,SUB.0170,7034 - Saúde do Adulto e do Idoso,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
15,2,SUB.1159,13613 - Terapia nutricional na enfermagem,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
16,3,SUB.0867,7988 - Atenção Ao Paciente Crítico,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
17,3,SUB.1086,8207 - Enfermagem em Clínica Cirúrgica e Centro Cirúrgico,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
18,3,SUB.0875,7996 - Enfermagem em Urgência e Emergência,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
19,3,SUB.0382,7246 - Enfermagem Materno Infantil,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
20,3,SUB.0213,7077 - Projeto Integrador 3,Regular,Não,2,Específico,"CH Relógio: 90, CH Aula: 120",0,90,-,-,-
21,3,SUB.1161,13615 - Saúde Mental e Psicologia no Atendimento em Saúde,Regular,Não,2,Específico,"CH Relógio: 30, CH Aula: 40",30,0,-,-,-
22,3,SUB.0566,7430 - Vigilância em Saúde,Regular,Não,2,Específico,"CH Relógio: 60, CH Aula: 80",60,0,-,-,-
