#,Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,1,TCN.0208,10772 - Algoritmos e Laboratório de Programação,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
2,1,TCN.0413,10977 - Fundamentos de Informática,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
3,1,TCN.0231,10795 - Informática e Sociedade,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
4,1,TCN.0162,10726 - Inglês Instrumental,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
5,1,TCN.0269,10833 - Lógica Matemática,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
6,1,TCN.0432,10996 - Matemática Aplicada,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
7,1,TCN.0309,10873 - Português Instrumental,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
8,2,TCN.0545,11109 - Arquitetura de Computadores,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
9,2,TCN.0007,10571 - Arquitetura de Software,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
10,2,TCN.0429,10993 - Banco de Dados I,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
11,2,TCN.0344,10908 - Estrutura de Dados I,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
12,2,TCN.0348,10912 - Fundamentos de Estatística,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
13,2,TCN.0448,11012 - Fundamentos de Sistemas de Informação,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
14,2,TCN.0139,10703 - Programação Orientada À Objetos,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
15,3,TCN.0075,10639 - Banco de Dados II,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
16,3,TCN.0678,11242 - Desenvolvimento Web,Regular,Não,2,Comum,"CH Relógio: 100, CH Aula: 120",100,0,-,-,-
17,3,TCN.0084,10648 - Educação Inclusiva,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
18,3,TCN.0671,11235 - Engenharia de Software I,Regular,Não,2,Comum,"CH Relógio: 67, CH Aula: 80",67,0,-,-,-
19,3,TCN.0214,10778 - Estrutura de Dados II,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
20,3,TCN.0587,11151 - Redes de Telecomunicações I,Regular,Não,2,Comum,"CH Relógio: 33, CH Aula: 40",33,0,-,-,-
