#,Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,1,TCN.0750,13341 - Atividades de Extensão I,Atividade de Extensão,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",0,0,-,-,-
2,1,TCN.0070,10634 - Desenho Auxiliado Por Computador,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
3,1,TCN.0569,11133 - Introdução À Produção Industrial,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
4,1,TCN.0209,10773 - Matemática Básica,Regular,Não,2,Comum,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
5,1,TCN.0110,10674 - Metodologia Científica,Regular,Não,2,Comum,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
6,1,TCN.0353,10917 - Teoria Geral da Administração,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
7,2,TCN.0811,13562 - Atividades de Extensão II,Atividade de Extensão,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",0,0,-,-,-
8,2,TCN.0114,10678 - Gestão da Produção I,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
9,2,TCN.0809,13560 - Gestão do Desenvolvimento de Produtos,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
10,2,TCN.0107,10671 - Marketing,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
11,2,TCN.0189,10753 - Noções de Cálculo,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
12,2,TCN.0172,10736 - Português Instrumental,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
13,2,TCN.0810,13561 - Química Geral e Tecnológica,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
14,3,TCN.0812,13569 - Atividades de Extensão III,Atividade de Extensão,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",0,0,-,-,-
15,3,TCN.0516,"11080 - Ergonomia, Saúde e Segurança Ocupacional",Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
16,3,TCN.0284,10848 - Estatística Aplicada,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
17,3,TCN.0533,11097 - Gestão da Cadeia de Suprimento,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
18,3,TCN.0111,10675 - Gestão da Produção II,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
19,3,TCN.0331,10895 - Gestão da Qualidade,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
20,4,TCN.0815,13572 - Atividades de Extensão IV,Atividade de Extensão,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",0,0,-,-,-
21,4,TCN.0524,11088 - Custos Industriais,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
22,4,TCN.0166,10730 - Gestão de Pessoas,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
23,4,TCN.0571,11135 - Inglês,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
24,4,TCN.0814,13571 - Processos Químicos Industriais,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
25,4,TCN.0287,10851 - Sistema de Medição e Metrologia,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
26,4,TCN.0813,13570 - Sistemas de Produção Enxutos,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
27,5,TCN.0816,13573 - Administração Estratégica,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
28,5,TCN.0818,13575 - Atividades de Extensão V,Atividade de Extensão,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
29,5,TCN.0817,13574 - Fabricação Digital,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
30,5,TCN.0333,10897 - Lógica de Programação,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
31,5,TCN.0585,11149 - Metodologia da Pesquisa TCC,Trabalho de Conclusão de Curso,Não,1,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
32,5,TCN.0283,10847 - Pesquisa Operacional,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
33,6,TCN.0823,13587 - Atividades de Extensão VI,Atividade de Extensão,Não,1,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
34,6,TCN.0821,13585 - Empreendedorismo e Inovação,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
35,6,TCN.0121,10685 - Ética e Responsabilidade Socioambiental,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
36,6,TCN.0822,13586 - Gestão de Projetos,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
37,6,TCN.0053,10617 - Gestão do Conhecimento e Informação,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
38,6,TCN.0320,10884 - Linguagem de Programação,Regular,Não,2,Específico,"CH Relógio: 80, CH Aula: 80",80,0,-,-,-
39,6,TCN.0819,13576 - Manutenção Industrial,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
40,6,TCN.0820,13584 - Teoria das Restrições,Regular,Não,2,Específico,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
41,6,TCN.0500,11064 - Trabalho de Conclusão de Curso,Trabalho de Conclusão de Curso,Não,1,Específico,"CH Relógio: 80, CH Aula: 80",0,80,-,-,-
42,-,LIC.0028,11531 - Fundamentos de Libras,Regular,Sim,2,Comum,"CH Relógio: 40, CH Aula: 40",40,0,-,-,-
