id,course_class_id,discipline_id,teacher_id,created_at,updated_at
1,6,1,2,2026-06-23 23:35:16,2026-06-23 23:35:16
2,6,2,3,2026-06-23 23:35:16,2026-06-23 23:35:16
3,6,3,4,2026-06-23 23:35:16,2026-06-23 23:35:16
4,6,4,5,2026-06-23 23:35:17,2026-06-23 23:35:17
5,6,4,6,2026-06-23 23:35:17,2026-06-23 23:35:17
6,6,5,7,2026-06-23 23:35:17,2026-06-23 23:35:17
7,6,6,8,2026-06-23 23:35:17,2026-06-23 23:35:17
8,6,7,9,2026-06-23 23:35:17,2026-06-23 23:35:17
9,6,8,10,2026-06-23 23:35:17,2026-06-23 23:35:17
10,6,8,1,2026-06-23 23:35:17,2026-06-23 23:35:17
11,6,9,11,2026-06-23 23:35:17,2026-06-23 23:35:17
12,6,10,12,2026-06-23 23:35:17,2026-06-23 23:35:17
13,6,11,3,2026-06-23 23:35:17,2026-06-23 23:35:17
14,6,12,13,2026-06-23 23:35:17,2026-06-23 23:35:17
15,6,13,14,2026-06-23 23:35:17,2026-06-23 23:35:17
16,1,1,2,2026-06-23 23:35:17,2026-06-23 23:35:17
17,1,2,3,2026-06-23 23:35:17,2026-06-23 23:35:17
18,1,3,4,2026-06-23 23:35:17,2026-06-23 23:35:17
19,1,4,5,2026-06-23 23:35:17,2026-06-23 23:35:17
20,1,4,6,2026-06-23 23:35:17,2026-06-23 23:35:17
21,1,5,7,2026-06-23 23:35:17,2026-06-23 23:35:17
22,1,6,8,2026-06-23 23:35:17,2026-06-23 23:35:17
23,1,7,9,2026-06-23 23:35:17,2026-06-23 23:35:17
24,1,8,10,2026-06-23 23:35:17,2026-06-23 23:35:17
25,1,8,1,2026-06-23 23:35:17,2026-06-23 23:35:17
26,1,9,11,2026-06-23 23:35:17,2026-06-23 23:35:17
27,1,10,15,2026-06-23 23:35:17,2026-06-23 23:35:17
28,1,11,16,2026-06-23 23:35:17,2026-06-23 23:35:17
29,1,12,13,2026-06-23 23:35:17,2026-06-23 23:35:17
30,1,13,14,2026-06-23 23:35:17,2026-06-23 23:35:17
31,3,14,17,2026-06-23 23:35:17,2026-06-23 23:35:17
32,3,15,9,2026-06-23 23:35:17,2026-06-23 23:35:17
33,3,16,18,2026-06-23 23:35:17,2026-06-23 23:35:17
34,3,16,19,2026-06-23 23:35:17,2026-06-23 23:35:17
35,3,17,20,2026-06-23 23:35:17,2026-06-23 23:35:17
36,3,18,21,2026-06-23 23:35:17,2026-06-23 23:35:17
37,3,19,22,2026-06-23 23:35:17,2026-06-23 23:35:17
38,3,20,1,2026-06-23 23:35:17,2026-06-23 23:35:17
39,3,21,6,2026-06-23 23:35:17,2026-06-23 23:35:17
40,3,22,20,2026-06-23 23:35:17,2026-06-23 23:35:17
41,3,23,12,2026-06-23 23:35:17,2026-06-23 23:35:17
42,3,24,23,2026-06-23 23:35:17,2026-06-23 23:35:17
43,3,25,13,2026-06-23 23:35:17,2026-06-23 23:35:17
44,3,26,24,2026-06-23 23:35:17,2026-06-23 23:35:17
45,2,14,17,2026-06-23 23:35:18,2026-06-23 23:35:18
46,2,15,9,2026-06-23 23:35:18,2026-06-23 23:35:18
47,2,16,18,2026-06-23 23:35:18,2026-06-23 23:35:18
48,2,16,19,2026-06-23 23:35:18,2026-06-23 23:35:18
49,2,17,25,2026-06-23 23:35:18,2026-06-23 23:35:18
50,2,18,21,2026-06-23 23:35:18,2026-06-23 23:35:18
51,2,19,26,2026-06-23 23:35:18,2026-06-23 23:35:18
52,2,20,1,2026-06-23 23:35:18,2026-06-23 23:35:18
53,2,21,6,2026-06-23 23:35:18,2026-06-23 23:35:18
54,2,22,20,2026-06-23 23:35:18,2026-06-23 23:35:18
55,2,23,15,2026-06-23 23:35:18,2026-06-23 23:35:18
56,2,24,1,2026-06-23 23:35:18,2026-06-23 23:35:18
57,2,25,13,2026-06-23 23:35:18,2026-06-23 23:35:18
58,2,26,24,2026-06-23 23:35:18,2026-06-23 23:35:18
59,5,27,17,2026-06-23 23:35:18,2026-06-23 23:35:18
60,5,28,6,2026-06-23 23:35:18,2026-06-23 23:35:18
61,5,29,27,2026-06-23 23:35:18,2026-06-23 23:35:18
62,5,30,28,2026-06-23 23:35:18,2026-06-23 23:35:18
63,5,31,29,2026-06-23 23:35:18,2026-06-23 23:35:18
64,5,32,14,2026-06-23 23:35:18,2026-06-23 23:35:18
65,5,33,30,2026-06-23 23:35:18,2026-06-23 23:35:18
66,5,34,18,2026-06-23 23:35:18,2026-06-23 23:35:18
67,5,34,19,2026-06-23 23:35:18,2026-06-23 23:35:18
68,5,35,11,2026-06-23 23:35:18,2026-06-23 23:35:18
69,5,36,31,2026-06-23 23:35:18,2026-06-23 23:35:18
70,5,37,23,2026-06-23 23:35:18,2026-06-23 23:35:18
71,5,38,28,2026-06-23 23:35:18,2026-06-23 23:35:18
72,5,39,13,2026-06-23 23:35:18,2026-06-23 23:35:18
73,4,27,32,2026-06-23 23:35:18,2026-06-23 23:35:18
74,4,28,6,2026-06-23 23:35:18,2026-06-23 23:35:18
75,4,29,27,2026-06-23 23:35:18,2026-06-23 23:35:18
76,4,30,28,2026-06-23 23:35:18,2026-06-23 23:35:18
77,4,31,29,2026-06-23 23:35:18,2026-06-23 23:35:18
78,4,32,14,2026-06-23 23:35:18,2026-06-23 23:35:18
79,4,33,30,2026-06-23 23:35:18,2026-06-23 23:35:18
80,4,34,18,2026-06-23 23:35:18,2026-06-23 23:35:18
81,4,34,19,2026-06-23 23:35:18,2026-06-23 23:35:18
82,4,35,25,2026-06-23 23:35:18,2026-06-23 23:35:18
83,4,36,31,2026-06-23 23:35:18,2026-06-23 23:35:18
84,4,37,12,2026-06-23 23:35:19,2026-06-23 23:35:19
85,4,38,28,2026-06-23 23:35:19,2026-06-23 23:35:19
86,4,39,13,2026-06-23 23:35:19,2026-06-23 23:35:19
87,15,40,32,2026-06-23 23:35:19,2026-06-23 23:35:19
88,15,41,4,2026-06-23 23:35:19,2026-06-23 23:35:19
89,15,42,7,2026-06-23 23:35:19,2026-06-23 23:35:19
90,15,43,33,2026-06-23 23:35:19,2026-06-23 23:35:19
91,15,44,32,2026-06-23 23:35:19,2026-06-23 23:35:19
92,15,45,9,2026-06-23 23:35:19,2026-06-23 23:35:19
93,15,46,10,2026-06-23 23:35:19,2026-06-23 23:35:19
94,15,46,1,2026-06-23 23:35:19,2026-06-23 23:35:19
95,15,47,5,2026-06-23 23:35:19,2026-06-23 23:35:19
96,15,47,6,2026-06-23 23:35:19,2026-06-23 23:35:19
97,15,48,33,2026-06-23 23:35:19,2026-06-23 23:35:19
98,15,49,31,2026-06-23 23:35:19,2026-06-23 23:35:19
99,15,50,34,2026-06-23 23:35:19,2026-06-23 23:35:19
100,15,51,13,2026-06-23 23:35:19,2026-06-23 23:35:19
101,15,52,24,2026-06-23 23:35:19,2026-06-23 23:35:19
102,13,53,17,2026-06-23 23:35:19,2026-06-23 23:35:19
103,13,54,9,2026-06-23 23:35:19,2026-06-23 23:35:19
104,13,55,30,2026-06-23 23:35:19,2026-06-23 23:35:19
105,13,56,18,2026-06-23 23:35:19,2026-06-23 23:35:19
106,13,56,19,2026-06-23 23:35:19,2026-06-23 23:35:19
107,13,57,25,2026-06-23 23:35:19,2026-06-23 23:35:19
108,13,58,33,2026-06-23 23:35:19,2026-06-23 23:35:19
