id,course_id,name,code,period,created_at,updated_at
1,1,Fundamentos Básicos e Aplicados À Informática,INT.0829,,2026-06-23 23:34:23,2026-06-23 23:34:23
2,1,Arquitetura e Montagem de Computadores,INT.1144,,2026-06-23 23:34:23,2026-06-23 23:34:23
3,1,Geografia I,INT.0106,,2026-06-23 23:34:23,2026-06-23 23:34:23
4,1,História I,INT.0268,,2026-06-23 23:34:23,2026-06-23 23:34:23
5,1,Arte I,INT.0587,,2026-06-23 23:34:23,2026-06-23 23:34:23
6,1,Biologia I,INT.0093,,2026-06-23 23:34:23,2026-06-23 23:34:23
7,1,Educação Física I,INT.0076,,2026-06-23 23:34:23,2026-06-23 23:34:23
8,1,Física I,INT.0048,,2026-06-23 23:34:23,2026-06-23 23:34:23
9,1,Língua Portuguesa I,INT.0255,,2026-06-23 23:34:23,2026-06-23 23:34:23
10,1,Matemática I,INT.0349,,2026-06-23 23:34:23,2026-06-23 23:34:23
11,1,Projeto Integrador 1,INT.0239,,2026-06-23 23:34:23,2026-06-23 23:34:23
12,1,Química I,INT.0346,,2026-06-23 23:34:23,2026-06-23 23:34:23
13,1,Sociologia I,INT.0150,,2026-06-23 23:34:23,2026-06-23 23:34:23
14,1,Biologia II,INT.0248,,2026-06-23 23:34:23,2026-06-23 23:34:23
15,1,Educação Física II,INT.0225,,2026-06-23 23:34:23,2026-06-23 23:34:23
16,1,Geografia II,INT.0261,,2026-06-23 23:34:23,2026-06-23 23:34:23
17,1,Arte III,INT.0472,,2026-06-23 23:34:23,2026-06-23 23:34:23
18,1,Programação Orientada À Objetos,INT.1114,,2026-06-23 23:34:23,2026-06-23 23:34:23
19,1,Configuração de Redes e Servidores,INT.0631,,2026-06-23 23:34:23,2026-06-23 23:34:23
20,1,Física II,INT.0269,,2026-06-23 23:34:23,2026-06-23 23:34:23
21,1,História II,INT.0341,,2026-06-23 23:34:23,2026-06-23 23:34:23
22,1,Língua Portuguesa II,INT.0267,,2026-06-23 23:34:23,2026-06-23 23:34:23
