id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,2025_01_01_000001_create_teams_table,1
5,2025_01_01_000002_add_current_team_id_to_users_table,1
6,2025_03_23_110821_create_audits_table,1
7,2025_08_26_200400_create_permission_tables,1
8,2025_08_27_151927_create_media_table,1
9,2025_09_17_000111_extend_teams_and_link_media,1
10,2025_09_17_000120_create_videos_table,1
11,2025_09_17_000130_enable_permission_teams,1
12,2025_12_24_112704_create_pulse_tables,1
13,2026_05_25_171932_create_security_blocked_ips_table,1
14,2026_05_25_171933_create_security_events_table,1
15,2026_06_10_191314_create_magic_login_tokens_table,1
16,2026_06_11_015003_create_teachers_table,1
17,2026_06_11_121139_create_courses_table,1
18,2026_06_11_121140_create_students_table,1
19,2026_06_14_031537_create_enrollments_table,1
20,2026_06_14_031539_create_disciplines_table,1
21,2026_06_14_031541_create_academic_terms_table,1
22,2026_06_14_031543_create_course_classes_table,1
23,2026_06_14_031545_create_class_enrollments_table,1
24,2026_06_14_140000_create_course_class_disciplines_table,1
25,2026_06_14_141000_create_evaluations_table,1
26,2026_06_16_000000_create_feedback_table,1
27,2026_06_21_220219_create_connected_accounts_table,1
28,2026_06_24_103000_add_admin_user,2
29,2026_06_24_154659_add_is_dispensed_from_evaluations_to_students_table,2
30,2026_06_24_193306_drop_eval_class_enroll_course_class_disc_unique_from_evaluations_table,2
31,2026_06_25_144547_enable_unaccent_extension,3
